feature,mean_importance
smoking_history_never,-7.165908929864518e-05
smoking_history_ever,-3.963479437987527e-05
smoking_history_current,-1.663093679372951e-05
gender_Other,0.0
smoking_history_not current,1.473350904665771e-05
smoking_history_former,2.805212957564529e-05
gender_Female,5.101734048138795e-05
gender_Male,0.0002976573748517092
hypertension,0.001110289678871637
heart_disease,0.001325888756443297
smoking_history_No Info,0.001939622387103057
bmi,0.010456658887326447
age,0.02495276662586666
blood_glucose_level,0.11233326549702213
HbA1c_level,0.19502521518816404
