feature,mean_importance
smoking_history_never,-0.000144568559705896
smoking_history_current,-9.414627212939175e-06
gender_Other,0.0
smoking_history_not current,1.9660844561647518e-06
smoking_history_former,6.734875869439661e-05
smoking_history_ever,6.947804408679315e-05
gender_Female,7.49209557673769e-05
gender_Male,0.00010610060768353746
heart_disease,0.0010292069252740565
smoking_history_No Info,0.001093506079712006
hypertension,0.0011666012693428846
bmi,0.008425234501800072
age,0.024411468835832017
blood_glucose_level,0.15556607019317786
HbA1c_level,0.2300166712582584
