feature,mean_importance
smoking_history_current,-2.7610490530177724e-05
smoking_history_former,-2.127534614494442e-05
smoking_history_never,-1.5869512310107138e-05
smoking_history_not current,-1.450371960267649e-05
gender_Other,0.0
smoking_history_ever,2.6042477809190555e-05
gender_Female,0.00012838944652078245
gender_Male,0.00024164353879796153
heart_disease,0.0005629855962831054
smoking_history_No Info,0.00115050960297661
hypertension,0.0013636694893315704
bmi,0.007868155656078093
age,0.024876197962131724
blood_glucose_level,0.1504831615488597
HbA1c_level,0.23410642103371626
