feature,mean_importance
smoking_history_never,-7.986034455863267e-05
smoking_history_former,-6.521495028330437e-06
gender_Other,0.0
smoking_history_not current,1.5674662994524802e-05
smoking_history_ever,3.30412818617537e-05
smoking_history_current,5.4747713829697564e-05
gender_Male,0.0002178982390934864
gender_Female,0.00032097303918499076
heart_disease,0.0012110454289617268
smoking_history_No Info,0.0014038952278539213
hypertension,0.0014056524607190424
bmi,0.008330929753464233
age,0.024887315350194394
blood_glucose_level,0.15627223495249873
HbA1c_level,0.2237942474985009
