feature,mean_importance
gender_Female,-3.7020502225104665e-05
smoking_history_former,-1.677882306613532e-05
smoking_history_never,-6.588724912684474e-06
smoking_history_not current,-6.23028477901022e-06
gender_Other,0.0
smoking_history_current,2.010828300669232e-06
smoking_history_ever,1.1772935580323107e-05
gender_Male,0.0005031111340323691
heart_disease,0.0007543178039136677
smoking_history_No Info,0.0015998192735893729
hypertension,0.0016067959905341016
bmi,0.008128897383743927
age,0.024194057927068507
blood_glucose_level,0.24870395671408946
HbA1c_level,0.4493888370145534
