feature,mean_importance
smoking_history_not current,-3.3445173757176706e-05
smoking_history_current,-2.0657556424330537e-05
smoking_history_never,-1.4733423719245908e-05
gender_Female,-7.985407050337124e-06
gender_Other,0.0
smoking_history_former,8.517903570029462e-06
smoking_history_ever,2.160953906838181e-05
gender_Male,0.0005982465503150125
heart_disease,0.0011370216313755898
hypertension,0.0014268776112695252
smoking_history_No Info,0.0014856634236099426
bmi,0.009061230716136362
age,0.02358276432729866
blood_glucose_level,0.26227250352729803
HbA1c_level,0.4409989226254008
