feature,mean_importance
smoking_history_never,-3.6848953409163164e-07
gender_Other,0.0
smoking_history_ever,0.0
smoking_history_former,0.0
smoking_history_not current,0.0
smoking_history_current,1.187635418314903e-07
gender_Female,1.609452618372975e-07
gender_Male,4.2282255905690123e-07
smoking_history_No Info,8.682380643507958e-05
heart_disease,0.0004236411846767346
hypertension,0.0012232141128031477
bmi,0.0044535246087131445
age,0.016192246850751768
blood_glucose_level,0.2785245396744697
HbA1c_level,0.7794206704368654
